iter	Passed	Remaining
0	0	95
1	2	112
2	3	111
3	4	104
4	5	101
5	6	98
6	7	100
7	8	100
8	9	99
9	10	97
10	12	97
11	13	97
12	14	96
13	15	95
14	16	95
15	17	93
16	18	92
17	19	91
18	21	89
19	22	88
20	23	87
21	24	86
22	25	85
23	26	83
24	27	82
25	28	80
26	29	79
27	30	78
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	36	71
34	38	70
35	39	69
36	39	68
37	41	67
38	42	65
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	28
73	77	27
74	77	25
75	79	24
76	80	23
77	80	22
78	82	21
79	82	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
