iter	Passed	Remaining
0	134	134437
1	136	68182
2	138	46097
3	140	34942
4	142	28275
5	144	23872
6	145	20694
7	147	18270
8	148	16398
9	149	14839
10	151	13626
11	152	12575
12	154	11701
13	154	10907
14	156	10307
15	159	9785
16	161	9315
17	163	8900
18	164	8514
19	165	8133
20	166	7779
21	168	7498
22	170	7226
23	171	6984
24	172	6738
25	174	6531
26	175	6317
27	175	6105
28	176	5925
29	177	5747
30	178	5593
31	180	5447
32	181	5313
33	182	5185
34	183	5063
35	184	4942
36	185	4831
37	186	4726
38	187	4626
39	188	4529
40	189	4437
41	190	4345
42	191	4257
43	192	4174
44	192	4093
45	193	4015
46	194	3938
47	195	3868
48	195	3797
49	196	3730
50	196	3665
51	197	3604
52	198	3542
53	199	3487
54	199	3433
55	200	3378
56	201	3329
57	201	3277
58	202	3226
59	202	3178
60	203	3130
61	203	3085
62	204	3040
63	204	2997
64	205	2955
65	205	2915
66	206	2875
67	207	2840
68	207	2805
69	208	2769
70	208	2734
71	209	2699
72	209	2665
73	210	2633
74	211	2602
75	211	2573
76	212	2544
77	212	2515
78	213	2487
79	214	2462
80	214	2436
81	215	2409
82	215	2380
83	216	2355
84	216	2331
85	217	2307
86	217	2284
87	218	2262
88	218	2240
89	219	2219
90	220	2199
91	220	2179
92	221	2158
93	221	2138
94	222	2119
95	223	2100
96	223	2081
97	224	2063
98	224	2044
99	225	2026
100	225	2008
101	226	1991
102	226	1974
103	227	1958
104	227	1942
105	228	1926
106	228	1910
107	229	1895
108	230	1881
109	230	1866
110	231	1852
111	231	1838
112	232	1825
113	233	1812
114	233	1798
115	234	1785
116	234	1771
117	235	1758
118	235	1745
119	236	1732
120	236	1720
121	237	1707
122	237	1695
123	238	1683
124	238	1671
125	239	1660
126	239	1648
127	240	1637
128	240	1626
129	241	1615
130	241	1604
131	242	1594
132	243	1584
133	243	1574
134	244	1565
135	245	1556
136	245	1547
137	246	1537
138	246	1528
139	247	1518
140	247	1509
